GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Monitor Thread,com.btmatthews.utils.monitor.mojo,AbstractRunMojo,0,58,0,4,0,15,0,6,0,4
Monitor Thread,com.btmatthews.utils.monitor.mojo,AbstractStopMojo,0,11,0,0,0,4,0,2,0,2
Monitor Thread,com.btmatthews.utils.monitor.mojo,AbstractServerMojo,0,31,0,0,0,8,0,5,0,5
Monitor Thread,com.btmatthews.utils.monitor,ServerFactoryLocator,0,51,0,4,0,12,0,6,0,4
Monitor Thread,com.btmatthews.utils.monitor,AbstractServer,0,10,0,0,0,6,0,6,0,6
Monitor Thread,com.btmatthews.utils.monitor,Monitor,69,282,14,14,20,82,10,19,0,15
